Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
A 15,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 15,5,5,33.7323,A 14,S,1,,>300m,,adjacent,� vertical rock,0,NA,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 16,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 16,25,4,48.9286,A 15,SE,1; 6,,>300m,True,within shouting distance,unfavourable,10,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 17,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 17,40,4,257.0863,A 16,SW,5; 6,,>300m,True,within shouting distance,spacious,25,<15m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 18,Amis,,,14.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 18,2,6,305.0528,A 19,SW,6,,>300m,,adjacent,� vertical rock,4,<1m,isolated,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 19,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 19,11,5,305.0528,A 18,SW,10,,>300m,,adjacent,spacious,14,<1m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 20,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 20,2,6,88.3471,A 11,SW,5,,>300m,True,within shouting distance,spacious,15,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 21,Amis,,Shipahu,08.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 21,3,6,213.5819,A 23,S,5,,>300m,True,<300m,unfavourable,2,<1m,marginal,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 22,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 22,209,2,174.5163,A 25,N; SE; SW,1; 3; 5; 12,,<300m,,adjacent,unfavourable,11,<15m,central,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,If good rain; then water on site
A 23,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 23,4,6,57.5788,A 6,NE,1,,<300m,,adjacent,� vertical rock,1,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 24,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 24,12,5,102.1717,A 25,NW,1,,<300m,,within shouting distance,� vertical rock,0,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 25,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 25,54,4,102.1717,A 24,E,1,,<300m,True,within shouting distance,� vertical rock,1,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 26,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 26,8,5,410043,A 27,SW,5; 6; 9; 10,,<300m,,>300m,� vertical rock,8,<3m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 27,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 27,6,5,410043,A 26,SE,1; 5; 6,,>300m,True,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 28,Amis,,Toiwo & Shipahu,12.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 28,26,4,107.49,A 29,SW,5; 10,,<300m,True,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 29,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 29,86,3,99.8937,A 45,SE,3; 5; 6; 7; 10,,<300m,True,within shouting distance,unfavourable,11,<3m,marginal,magnificent,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
A 30,Amis,,Camby�s Rock,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 30,47,4,95.3575,A 45,N,5,,within shouting distance,True,within shouting distance,unfavourable,7,<15m,central,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 31,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 31,113,3,303.5771,A 32,E,6; 12,,>300m,,<300m,spacious,23,<3m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 32,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 32,26,4,63.7039,A 33,S,3; 4; 5; 7; 12,,within shouting distance,,adjacent,unfavourable,9,>15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 33,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 33,4,6,63.7039,A 32,SW,5,,<300m,,adjacent,unfavourable,3,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 34,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 34,309,2,84.9067,A 35,S,1; 5; 6; 7; 8; 9; 10; 11; 12,,>300m,,adjacent,spacious,8,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 35,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 35,95,3,84.9067,A 34,SE,1; 5; 6; 7; 9; 10; 12,,>300m,True,within shouting distance,unfavourable,14,>15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 36,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 36,7,5,137.7693,A 37,E,8,,>300m,,adjacent,unfavourable,12,>15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 37,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 37,28,4,31.8825,A 38,SE,1; 7; 8; 12,,>300m,,within shouting distance,� vertical rock,3,>15m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 38,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 38,513,1,31.8825,A 37,N,5; 6; 7; 8; 12,,>300m,True,within shouting distance,spacious,6,>15m,marginal,poor,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
A 39,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 39,10,5,71.3002,A 38,E,5,,>300m,True,within shouting distance,unfavourable,4,<15m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 40,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 40,74,3,57.8374,A 41,E,4; 5; 11,,>300m,,adjacent,spacious,9,<15m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 41,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 41,24,4,57.8374,A 40,E; SW,1; 5; 10; 11; 12,,>300m,,adjacent,unfavourable,2,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 42,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 42,8,5,84.5524,A 41,SW,5,,>300m,True,within shouting distance,spacious,0,<3m,isolated,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 43,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 43,22,4,156.7089,A 44,SW,5,,>300m,True,within shouting distance,spacious,22,<3m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 44,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 44,140,3,156.7089,A 43,SW,5; 6,,>300m,,adjacent,spacious,6,<1m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 45,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 45,2,6,95.3575,A 30,SE,5,,within shouting distance,True,within shouting distance,unfavourable,4,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 46,Amis,,S.A. Pager,13.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 46,8,5,45312,A 47,SW,5,,NA,,<300m,spacious,22,<3m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 47,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 47,196,2,45312,A 46,NE,5; 6; 8; 9; 10,,NA,True,within shouting distance,spacious,25,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 48,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 48,3,6,84782,A 47,S,5,,NA,True,<300m,unfavourable,19,<1m,central,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 49,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 49,2,6,122.7957,A 50,NE,1,,NA,,adjacent,� vertical rock,2,>15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 50,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 50,10,5,122.7957,A 49,N; E,3; 5; 7; 8; 10; 11,,NA,,<300m,spacious,23,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 51,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 51,168,3,60.6219,A 52,NE,5,,NA,True,within shouting distance,spacious,19,>15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 52,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 52,18,5,60.6219,A 51,W,5; 11,,NA,,<300m,unfavourable,11,<1m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 53,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 53,116,3,256.5719,D 2,W,5,,NA,,within shouting distance,spacious,8,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 54,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 54,47,4,39.1722,A 55,SE,5,,>300m,,adjacent,spacious,19,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 55,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 55,9,5,39.1722,A 54,SW,5; 6,,>300m,,adjacent,unfavourable,9,NA,marginal,NA,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
A 56,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 56,136,3,182.2386,A 57,SW,1; 7; 12,,>300m,True,within shouting distance,unfavourable,13,>15m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 57,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 57,249,2,50.7806,A 59,S,1; 5; 6; 8; 12,,>300m,,adjacent,� vertical rock,11,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 58,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 58,47,4,30.0092,A 59,NE; NW,1; 5; 12,,>300m,True,within shouting distance,spacious,4,<3m,marginal,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 59,Amis,,Toiwo & Shipahu,06.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 59,11,5,30.0092,A 58,E,1,,>300m,True,within shouting distance,� vertical rock,0,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 60,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 60,160,3,37.9697,A 61,SW,5; 6; 9; 11,,>300m,True,within shouting distance,spacious,10,<15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 61,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 61,16,5,37.9697,A 60,N; SW,5,,>300m,,adjacent,unfavourable,5,<1m,central,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 62,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 62,39,4,132.4248,A 63,NE,5; 6,,>300m,True,within shouting distance,unfavourable,18,<1m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 63,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 63,5,5,132.4248,A 62,S,3; 4; 5; 6,,>300m,True,within shouting distance,unfavourable,5,>15m,marginal,NA,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 64,Amis,,Toiwo,01.12.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 64,16,5,59.7101,H 71,SE; NW,1; 7; 12,,>300m,,adjacent,� vertical rock,4,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 65,Amis,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 65,6,5,100.2331,A 4,SW,1,,<300m,True,within shouting distance,� vertical rock,1,<15m,marginal,NA,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 66,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 66,11,5,315.5275,A 65,N; SW,5; 6,,<300m,,within shouting distance,spacious,33,<3m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
B 1,Sesaub / Basswaldrinne,,Viereck,29.09.1977,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 1,8,5,1202.4941,B 4,S,5,,<300m,,adjacent,unfavourable,4,<15m,marginal,rather nice,European; Fireplace,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
B 2,Sesaub / Basswaldrinne,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 � Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,B 2,35,4,135.3739,B 3,S,1,,>300m,True,adjacent,unfavourable,3,>15m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
